time_iso8601,forks_cumulative
2024-02-16 00:00:00+00:00,35499
2024-02-17 00:00:00+00:00,35522
2024-02-18 00:00:00+00:00,35549
2024-02-19 00:00:00+00:00,35591
2024-02-20 00:00:00+00:00,35624
2024-02-21 00:00:00+00:00,35674
2024-02-22 00:00:00+00:00,35714
2024-02-23 00:00:00+00:00,35758
2024-02-24 00:00:00+00:00,35802
2024-02-25 00:00:00+00:00,35846
2024-02-26 00:00:00+00:00,35891
2024-02-27 00:00:00+00:00,35943
2024-02-28 00:00:00+00:00,35989
2024-02-29 00:00:00+00:00,36038
2024-03-01 00:00:00+00:00,36089
2024-03-02 00:00:00+00:00,36117
2024-03-03 00:00:00+00:00,36142
2024-03-04 00:00:00+00:00,36188
2024-03-05 00:00:00+00:00,36225
2024-03-06 00:00:00+00:00,36271
2024-03-07 00:00:00+00:00,36305
2024-03-08 00:00:00+00:00,36330
2024-03-09 00:00:00+00:00,36359
2024-03-10 00:00:00+00:00,36390
2024-03-11 00:00:00+00:00,36430
2024-03-12 00:00:00+00:00,36462
2024-03-13 00:00:00+00:00,36502
2024-03-14 00:00:00+00:00,36570
2024-03-15 00:00:00+00:00,36621
2024-03-16 00:00:00+00:00,36654
2024-03-17 00:00:00+00:00,36688
2024-03-18 00:00:00+00:00,36727
2024-03-19 00:00:00+00:00,36779
2024-03-20 00:00:00+00:00,36823
2024-03-21 00:00:00+00:00,36860
2024-03-22 00:00:00+00:00,36889
2024-03-23 00:00:00+00:00,36922
2024-03-24 00:00:00+00:00,36949
2024-03-25 00:00:00+00:00,36993
2024-03-26 00:00:00+00:00,37035
2024-03-27 00:00:00+00:00,37079
2024-03-28 00:00:00+00:00,37122
2024-03-29 00:00:00+00:00,37161
2024-03-30 00:00:00+00:00,37198
2024-03-31 00:00:00+00:00,37228
2024-04-01 00:00:00+00:00,37273
2024-04-02 00:00:00+00:00,37311
2024-04-03 00:00:00+00:00,37356
2024-04-04 00:00:00+00:00,37393
2024-04-05 00:00:00+00:00,37417
2024-04-06 00:00:00+00:00,37440
2024-04-07 00:00:00+00:00,37472
2024-04-08 00:00:00+00:00,37505
2024-04-09 00:00:00+00:00,37527
2024-04-10 00:00:00+00:00,37564
2024-04-11 00:00:00+00:00,37592
2024-04-12 00:00:00+00:00,37618
2024-04-13 00:00:00+00:00,37643
2024-04-14 00:00:00+00:00,37667
2024-04-15 00:00:00+00:00,37705
2024-04-16 00:00:00+00:00,37758
2024-04-17 00:00:00+00:00,37808
2024-04-18 00:00:00+00:00,37861
2024-04-19 00:00:00+00:00,37890
2024-04-20 00:00:00+00:00,37913
2024-04-21 00:00:00+00:00,37943
2024-04-22 00:00:00+00:00,37984
2024-04-23 00:00:00+00:00,38036
2024-04-24 00:00:00+00:00,38075
2024-04-25 00:00:00+00:00,38100
2024-04-26 00:00:00+00:00,38121
2024-04-27 00:00:00+00:00,38148
2024-04-28 00:00:00+00:00,38172
2024-04-29 00:00:00+00:00,38203
2024-04-30 00:00:00+00:00,38237
2024-05-01 00:00:00+00:00,38264
2024-05-02 00:00:00+00:00,38290
2024-05-03 00:00:00+00:00,38310
2024-05-04 00:00:00+00:00,38335
2024-05-05 00:00:00+00:00,38355
2024-05-06 00:00:00+00:00,38378
2024-05-07 00:00:00+00:00,38417
2024-05-08 00:00:00+00:00,38447
2024-05-09 00:00:00+00:00,38468
2024-05-10 00:00:00+00:00,38489
2024-05-11 00:00:00+00:00,38516
2024-05-12 00:00:00+00:00,38537
2024-05-13 00:00:00+00:00,38564
2024-05-14 00:00:00+00:00,38594
2024-05-15 00:00:00+00:00,38637
2024-05-16 00:00:00+00:00,38682
2024-05-17 00:00:00+00:00,38711
2024-05-18 00:00:00+00:00,38737
2024-05-19 00:00:00+00:00,38776
2024-05-20 00:00:00+00:00,38806
2024-05-21 00:00:00+00:00,38844
2024-05-22 00:00:00+00:00,38881
2024-05-23 00:00:00+00:00,38906
2024-05-24 00:00:00+00:00,38936
2024-05-25 00:00:00+00:00,38959
2024-05-26 00:00:00+00:00,38988
2024-05-27 00:00:00+00:00,39014
2024-05-28 00:00:00+00:00,39045
2024-05-29 00:00:00+00:00,39079
2024-05-30 00:00:00+00:00,39108
2024-05-31 00:00:00+00:00,39129
2024-06-01 00:00:00+00:00,39158
2024-06-02 00:00:00+00:00,39177
2024-06-03 00:00:00+00:00,39203
2024-06-04 00:00:00+00:00,39230
2024-06-05 00:00:00+00:00,39272
2024-06-06 00:00:00+00:00,39306
2024-06-07 00:00:00+00:00,39324
2024-06-08 00:00:00+00:00,39344
2024-06-09 00:00:00+00:00,39380
2024-06-10 00:00:00+00:00,39405
2024-06-11 00:00:00+00:00,39437
2024-06-12 00:00:00+00:00,39468
2024-06-13 00:00:00+00:00,39483
2024-06-14 00:00:00+00:00,39503
2024-06-15 00:00:00+00:00,39511
2024-06-16 00:00:00+00:00,39520
2024-06-17 00:00:00+00:00,39543
2024-06-18 00:00:00+00:00,39570
2024-06-19 00:00:00+00:00,39592
2024-06-20 00:00:00+00:00,39615
2024-06-21 00:00:00+00:00,39639
2024-06-22 00:00:00+00:00,39651
2024-06-23 00:00:00+00:00,39663
2024-06-24 00:00:00+00:00,39678
2024-06-25 00:00:00+00:00,39706
2024-06-26 00:00:00+00:00,39715
